Labels,R3B_film 2_exc_em630,
Type,Excitation Scan,
Comment,,
Start,300.00,
Stop,620.00,
Step,1.00,
Fixed/Offset,630.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,3,
Dwell Time,0.20,
Lamp,Xenon,
Temp,66.950,
Scan Polariser,None,
Scan Slit,2.9999809,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.4999860,
Detector,Det 1,

300.00,6.77550098E+3,
301.00,6.76739941E+3,
302.00,6.33727637E+3,
303.00,6.02952637E+3,
304.00,5.84811084E+3,
305.00,5.68550781E+3,
306.00,5.67901123E+3,
307.00,5.43452051E+3,
308.00,5.37156494E+3,
309.00,4.85793359E+3,
310.00,4.58817285E+3,
311.00,4.66227783E+3,
312.00,4.46784717E+3,
313.00,4.25467871E+3,
314.00,4.03529248E+3,
315.00,3.82925244E+3,
316.00,3.72119238E+3,
317.00,3.57962695E+3,
318.00,3.38373584E+3,
319.00,3.27370410E+3,
320.00,3.28282520E+3,
321.00,2.89956982E+3,
322.00,2.65869824E+3,
323.00,2.56230811E+3,
324.00,2.58358252E+3,
325.00,2.32346240E+3,
326.00,2.46324097E+3,
327.00,2.12916919E+3,
328.00,2.07030713E+3,
329.00,2.05280615E+3,
330.00,1.87531445E+3,
331.00,1.86238184E+3,
332.00,1.70681055E+3,
333.00,1.92822339E+3,
334.00,1.79073242E+3,
335.00,1.65003516E+3,
336.00,1.71834070E+3,
337.00,1.54583569E+3,
338.00,1.52828638E+3,
339.00,1.52988660E+3,
340.00,1.41762061E+3,
341.00,1.55276489E+3,
342.00,1.48182996E+3,
343.00,1.44759741E+3,
344.00,1.28587354E+3,
345.00,1.37661060E+3,
346.00,1.47866553E+3,
347.00,1.39904004E+3,
348.00,1.39566650E+3,
349.00,1.49830969E+3,
350.00,1.55739795E+3,
351.00,1.48367078E+3,
352.00,1.45818201E+3,
353.00,1.65315063E+3,
354.00,1.71494299E+3,
355.00,1.81433826E+3,
356.00,1.74654639E+3,
357.00,2.03038867E+3,
358.00,2.46477271E+3,
359.00,2.52735278E+3,
360.00,2.69677197E+3,
361.00,2.51798901E+3,
362.00,2.46412378E+3,
363.00,2.81719263E+3,
364.00,3.06214771E+3,
365.00,3.18141602E+3,
366.00,3.00456836E+3,
367.00,2.96688550E+3,
368.00,3.09754321E+3,
369.00,3.90402417E+3,
370.00,4.59571924E+3,
371.00,5.12247021E+3,
372.00,4.78128125E+3,
373.00,4.50635156E+3,
374.00,4.00600757E+3,
375.00,3.92347168E+3,
376.00,3.77497412E+3,
377.00,3.63143115E+3,
378.00,3.59965723E+3,
379.00,3.29551318E+3,
380.00,3.36743994E+3,
381.00,3.39980103E+3,
382.00,3.27059326E+3,
383.00,3.31802686E+3,
384.00,3.03647266E+3,
385.00,3.21050879E+3,
386.00,3.34244995E+3,
387.00,3.72328540E+3,
388.00,3.66538574E+3,
389.00,3.67816748E+3,
390.00,3.47212061E+3,
391.00,3.30246338E+3,
392.00,3.51822705E+3,
393.00,3.63631836E+3,
394.00,3.51445508E+3,
395.00,3.32152197E+3,
396.00,3.14610254E+3,
397.00,3.04992651E+3,
398.00,2.95006592E+3,
399.00,3.08914063E+3,
400.00,3.30676099E+3,
401.00,2.98217090E+3,
402.00,3.11497144E+3,
403.00,2.98265234E+3,
404.00,3.13329004E+3,
405.00,3.18617114E+3,
406.00,3.07590039E+3,
407.00,3.02535864E+3,
408.00,2.71407471E+3,
409.00,2.51207373E+3,
410.00,2.58128662E+3,
411.00,2.34222266E+3,
412.00,2.29173218E+3,
413.00,2.39330518E+3,
414.00,2.34773364E+3,
415.00,2.39168433E+3,
416.00,2.41151025E+3,
417.00,2.08989453E+3,
418.00,2.29652295E+3,
419.00,2.11719971E+3,
420.00,2.13207983E+3,
421.00,2.14684131E+3,
422.00,2.05767383E+3,
423.00,2.12260229E+3,
424.00,2.19573438E+3,
425.00,1.98333813E+3,
426.00,1.83753015E+3,
427.00,1.89547900E+3,
428.00,1.91789697E+3,
429.00,1.77664868E+3,
430.00,1.70725464E+3,
431.00,1.80257495E+3,
432.00,1.80058789E+3,
433.00,1.76395227E+3,
434.00,1.82101978E+3,
435.00,1.91393823E+3,
436.00,1.87654517E+3,
437.00,1.79504944E+3,
438.00,1.75160608E+3,
439.00,1.72308228E+3,
440.00,1.73426733E+3,
441.00,1.63592139E+3,
442.00,1.65424707E+3,
443.00,1.52475610E+3,
444.00,1.52089453E+3,
445.00,1.47349463E+3,
446.00,1.43284814E+3,
447.00,1.41712061E+3,
448.00,1.46144946E+3,
449.00,1.58096777E+3,
450.00,1.49252319E+3,
451.00,1.44884521E+3,
452.00,1.34710156E+3,
453.00,1.21918616E+3,
454.00,1.23402148E+3,
455.00,1.20464771E+3,
456.00,1.19097009E+3,
457.00,1.24084680E+3,
458.00,1.20304175E+3,
459.00,1.15966260E+3,
460.00,1.12535132E+3,
461.00,1.12140735E+3,
462.00,1.11244067E+3,
463.00,1.12291333E+3,
464.00,1.13617798E+3,
465.00,1.08225098E+3,
466.00,1.15144897E+3,
467.00,1.19193640E+3,
468.00,1.08158984E+3,
469.00,1.09432520E+3,
470.00,1.10271313E+3,
471.00,1.19154333E+3,
472.00,1.22274084E+3,
473.00,1.25672852E+3,
474.00,1.23850073E+3,
475.00,1.25580737E+3,
476.00,1.24729126E+3,
477.00,1.26897888E+3,
478.00,1.37628967E+3,
479.00,1.34301099E+3,
480.00,1.42475977E+3,
481.00,1.40588904E+3,
482.00,1.52092297E+3,
483.00,1.67946094E+3,
484.00,1.77939429E+3,
485.00,1.65170020E+3,
486.00,1.64177002E+3,
487.00,1.66395605E+3,
488.00,1.72911426E+3,
489.00,1.86860645E+3,
490.00,1.86658496E+3,
491.00,1.86633911E+3,
492.00,1.98681348E+3,
493.00,1.99299243E+3,
494.00,2.07613257E+3,
495.00,2.13472900E+3,
496.00,2.24668848E+3,
497.00,2.25301001E+3,
498.00,2.57705957E+3,
499.00,2.40304712E+3,
500.00,2.47338867E+3,
501.00,2.63518481E+3,
502.00,2.60182813E+3,
503.00,2.85686426E+3,
504.00,2.93334082E+3,
505.00,3.15550977E+3,
506.00,3.16588525E+3,
507.00,3.00689258E+3,
508.00,3.20120288E+3,
509.00,3.18211353E+3,
510.00,3.21957080E+3,
511.00,3.38972852E+3,
512.00,3.09527832E+3,
513.00,3.52752930E+3,
514.00,3.29682910E+3,
515.00,3.45932813E+3,
516.00,3.49611328E+3,
517.00,3.42202051E+3,
518.00,3.42196118E+3,
519.00,3.48967432E+3,
520.00,3.62008228E+3,
521.00,3.82354370E+3,
522.00,3.72287085E+3,
523.00,3.69161328E+3,
524.00,3.79296875E+3,
525.00,3.82718506E+3,
526.00,4.01082495E+3,
527.00,3.96437793E+3,
528.00,3.93782227E+3,
529.00,3.83806543E+3,
530.00,3.88642090E+3,
531.00,4.02637720E+3,
532.00,4.03720850E+3,
533.00,4.12929883E+3,
534.00,4.08695508E+3,
535.00,4.07897607E+3,
536.00,4.31958594E+3,
537.00,4.09787012E+3,
538.00,4.38418311E+3,
539.00,4.16852051E+3,
540.00,4.24973828E+3,
541.00,4.24630664E+3,
542.00,4.05513477E+3,
543.00,4.07431885E+3,
544.00,4.19236963E+3,
545.00,4.20537549E+3,
546.00,4.23744971E+3,
547.00,4.25509717E+3,
548.00,4.02717334E+3,
549.00,4.16544824E+3,
550.00,4.03773047E+3,
551.00,4.28703027E+3,
552.00,4.33359229E+3,
553.00,4.20911621E+3,
554.00,4.40297363E+3,
555.00,4.28128516E+3,
556.00,4.70389355E+3,
557.00,4.52912695E+3,
558.00,4.76042480E+3,
559.00,4.60805859E+3,
560.00,4.52749707E+3,
561.00,4.81076025E+3,
562.00,4.91937988E+3,
563.00,5.01208154E+3,
564.00,4.80495313E+3,
565.00,4.94496387E+3,
566.00,4.65237793E+3,
567.00,5.18213818E+3,
568.00,4.90573291E+3,
569.00,4.95204395E+3,
570.00,5.20107227E+3,
571.00,5.11327539E+3,
572.00,5.35722852E+3,
573.00,5.21810010E+3,
574.00,5.25458203E+3,
575.00,5.04962744E+3,
576.00,5.23432227E+3,
577.00,5.42774756E+3,
578.00,5.08697363E+3,
579.00,5.18121924E+3,
580.00,5.13217871E+3,
581.00,5.00245605E+3,
582.00,4.94018701E+3,
583.00,4.83728516E+3,
584.00,4.76795020E+3,
585.00,4.80005908E+3,
586.00,4.48325879E+3,
587.00,4.44830273E+3,
588.00,4.48425244E+3,
589.00,4.47893359E+3,
590.00,4.27109277E+3,
591.00,4.24543652E+3,
592.00,3.98565942E+3,
593.00,3.74022363E+3,
594.00,3.57749951E+3,
595.00,3.22702368E+3,
596.00,3.33794971E+3,
597.00,2.98649072E+3,
598.00,2.92687012E+3,
599.00,2.70260840E+3,
600.00,2.67558887E+3,
601.00,2.29873291E+3,
602.00,2.03423303E+3,
603.00,1.70310327E+3,
604.00,1.81819714E+3,
605.00,1.59081433E+3,
606.00,1.54318579E+3,
607.00,1.26008911E+3,
608.00,1.25288831E+3,
609.00,1.13261511E+3,
610.00,1.09083960E+3,
611.00,9.62047974E+2,
612.00,9.47354797E+2,
613.00,8.17169983E+2,
614.00,8.24428589E+2,
615.00,8.27045776E+2,
616.00,8.81466431E+2,
617.00,8.71416321E+2,
618.00,9.30711792E+2,
619.00,7.96930176E+2,
620.00,8.49465332E+2,
